sourceFileName,courseCode,courseName,semester,assessmentCount,totalWeight,confidence,ready,needsReview,canonical,duplicateGroupKey,duplicateStatus,reasons
BUSS150_Syllabus_Supplement_for_Students_BUSS_150_Spring2025_1.docx,BUSS 150,Introduction to Economics,Spring 2025,4,100,0.86,true,false,true,buss 150|introduction to economics|spring 2025,unique,
BUSS322_BUSS322_Syllabus_Bowman_Spring_2025.pdf,BUSS 322,Fundamentals of Innovation & Entrepreneurship,Spring 2025,4,100,0.95,true,false,true,buss 322|fundamentals of innovation & entrepreneurship|spring 2025,unique,
BUSS322_Summer_2025_Syllabus_BUSS_322_Fundamentals_of_Innovation.pdf,BUSS 322,Fundamentals of Innovation & Entrepreneurship,Summer 2025,4,100,0.92,true,false,true,buss 322|fundamentals of innovation & entrepreneurship|summer 2025,unique,
Proposed Spring2026_CCEN 210 Digital Logic Design.pdf,CCEN 210,Digital Logic Design,Spring 2026,4,100,0.91,true,false,true,ccen 210|digital logic design|spring 2026,unique,
CHEG205_CHEG_205_-_Syllabus.pdf,CHEG 205,Principles of Chemical Engineering,Fall 2023,15,100.2,0.9,true,false,true,cheg 205|principles of chemical engineering|fall 2023,unique,
CHEG230_Thermodynamics_Syllabus.pdf,CHEG 230,Chemical Engineering Thermodynamics I,Spring 2024,3,100,0.93,true,false,true,cheg 230|chemical engineering thermodynamics i|spring 2024,unique,
S26_CHEG230_Syllabus Supplement for Students.pdf,CHEG 230,Chemical Engineering Thermodynamics I,Spring 2026,6,100,0.9,true,false,true,cheg 230|chemical engineering thermodynamics i|spring 2026,unique,
CHEG232_Fluid_Mechanics_Syllabus.pdf,CHEG 232,Fluid Mechanics For Chemical Engineering,Spring 2024,9,100,0.87,true,false,true,cheg 232|fluid mechanics for chemical engineering|spring 2024,unique,
v(4) Syllabus Supplement-CHEG232-Spring 2025.pdf,CHEG 232,Fluid Mechanics,Spring 2025,9,100,0.9,true,false,true,cheg 232|fluid mechanics|spring 2025,unique,
CHEG312_Numerical_Syllabus.pdf,CHEG 312,Numerical Methods for Chemical Engineers,Spring 2025,6,100,0.9,true,false,true,cheg 312|numerical methods for chemical engineers|spring 2025,unique,
CHEG312-Syllabus Supplement for Students-Spring 2026 2.pdf,CHEG 312,Numerical Methods for Chemical Engineers,Spring 2026,11,100,0.9,true,false,true,cheg 312|numerical methods for chemical engineers|spring 2026,unique,
CHEG324_Mass_Syllabus.pdf,CHEG 324,Mass Transfer,Spring 2025,10,105,0.87,false,true,false,cheg 324|mass transfer|spring 2025,unique,total weight 105 is not 100; Total weight is above 100 (105%)
CHEG332_Thermo_II_Syllabus.pdf,CHEG 332,Chemical Engineering Thermodynamics II,Spring 2025,5,100,0.89,true,false,true,cheg 332|chemical engineering thermodynamics ii|spring 2025,unique,
CHEG350_Material_Science_Syllabus.pdf,CHEG 350,Materials Science & Engineering,Spring 2024,7,100,0.84,true,false,true,cheg 350|materials science & engineering|spring 2024,unique,
CHEG380_CHEG380_Syllabus.pdf,CHEG 380,Introduction to Polymer Science and Technology,Spring 2024,4,100,0.9,true,false,true,cheg 380|introduction to polymer science and technology|spring 2024,unique,
CHEM115_CHEM115-Syllabus_Spring_2023_S03.pdf,CHEM 115,General Chemistry I,Spring 2023,5,100,0.84,true,false,true,chem 115|general chemistry i|spring 2023,unique,
CHEM116_CHEM116_Syllabus_SP25.pdf,CHEM 116,General Chemistry II,Spring 2025,4,100,0.89,true,false,false,chem 116|general chemistry ii|spring 2025,duplicate,
CHEM116_Syllabus_Supplement_-_CHEM_116_spring_2025_2.docx,CHEM 116,General Chemistry II,Spring 2025,4,100,0.89,true,false,true,chem 116|general chemistry ii|spring 2025,duplicate,
CHEM211_CHEM_211_Spring_2024-Syllabus_Supplement.docx,CHEM 211,Fundamentals of Organic Chemistry,Spring 2024,4,100,0.89,true,false,true,chem 211|fundamentals of organic chemistry|spring 2024,unique,
CHEM211_CHEM_211_Spring_2025-Syllabus_Supplement.docx,CHEM 211,Fundamentals of Organic Chemistry,Spring 2025,4,100,0.89,true,false,true,chem 211|fundamentals of organic chemistry|spring 2025,unique,
COSC101_COSC101_Syllabus_and_Syllabus_Supplement.docx,COSC 101,Foundations of Computer Science,Fall 2025,8,100,0.95,true,false,true,cosc 101|foundations of computer science|fall 2025,unique,
ENGR114_ENGR114_Syllabus_Introduction_to_Computing_-_Python_Fall_2024.pdf,COSC 114,Introduction to Computing - Python,Fall 2024,4,100,0.89,true,false,true,cosc 114|introduction to computing - python|fall 2024,unique,
COSC 201 Computer Systems Organization.pdf,COSC 201,Computer Systems Organization,,5,100,0.89,true,false,true,cosc 201|computer systems organization|unknown-term,unique,
COSC201_COSC_201_Syllabus_Supplement_Spring_2025_-_Dr._Azzam_Mourad.pdf,COSC 201,Computer Systems Organization,Spring 2025,5,100,0.89,true,false,true,cosc 201|computer systems organization|spring 2025,unique,
COSC202_Data_Science_^0_AI_Syllabus.pdf,COSC 202,Data Science and Artificial Intelligence,Spring 2026,8,100,0.92,true,false,true,cosc 202|data science and artificial intelligence|spring 2026,unique,
"COSC 301 Automata, Computability, and Complexity_Fall2025.pdf",COSC 301,"Automata, Computability, and Complexity",Fall 2025,7,100,0.93,true,false,true,"cosc 301|automata, computability, and complexity|fall 2025",unique,
COSC301_COSC301_-_Syllabus_Supplement_for_Students_Fall_2022.pdf,COSC 301,"Automata, Computability, and Complexity",Fall 2022,9,100,0.9,true,false,true,"cosc 301|automata, computability, and complexity|fall 2022",unique,
COSC 310 Data Structures June 2020.pdf,COSC 310,Data Structures,,4,100,0.89,true,false,true,cosc 310|data structures|unknown-term,unique,
COSC310 - Syllabus Supplement for Students FALL 2025.pdf,COSC 310,Data Structures,Fall 2025,9,100,0.9,true,false,true,cosc 310|data structures|fall 2025,unique,
COSC310_COSC310_-_Syllabus_Supplement_for_Students_FALL_2024_Majid_Khonji.pdf,COSC 310,Data Structures,Fall 2024,8,100,0.9,true,false,true,cosc 310|data structures|fall 2024,unique,
COSC 312 Design and Analysis of Algorithms-S26.pdf,COSC 312,Design and Analysis of Algorithms,Spring 2025,4,100,0.93,true,false,true,cosc 312|design and analysis of algorithms|spring 2025,unique,
COSC 330 Introduction to AI_withSupplementFalll2025.docx,COSC 330,Introduction to Artificial Intelligence,Fall 2025,8,100,0.9,true,false,true,cosc 330|introduction to artificial intelligence|fall 2025,unique,
COSC330_COSC_330_Introduction_to_AI_withSupplementSpring2025_1.docx,COSC 330,Introduction to Artificial Intelligence,Spring 2025,8,100,0.9,true,false,true,cosc 330|introduction to artificial intelligence|spring 2025,unique,
Syllabus COSC 336 Introduction to Software Engineering - August 2025.pdf,COSC 336,Introduction to Software Engineering,Fall 2025,5,100,0.91,true,false,true,cosc 336|introduction to software engineering|fall 2025,unique,
UpdatedSpring20265AMourad_COSC_354_Syllabus With Supplement for Students.pdf,COSC 354,Operating Systems,Fall 2025,4,100,0.94,true,false,true,cosc 354|operating systems|fall 2025,unique,
COSC495_COSC_495-GameDev-November2024.pdf,COSC 495,COSC 4XX: Introduction to Game Development and XR,Spring 2025,4,100,0.89,true,false,true,cosc 495|cosc 4xx: introduction to game development and xr|spring 2025,unique,
ENGL101_ENGL101_Academic_English_I_-_Fall_2021_Syllabus.pdf,ENGL 101,Academic English I,Spring 2022,5,100,0.94,true,false,true,engl 101|academic english i|spring 2022,unique,
Eng 102 - Syllabus Spring 2026 (JJP).docx,ENGL 102,Academic English II,Spring 2026,5,100,0.93,true,false,true,engl 102|academic english ii|spring 2026,unique,
ENGL102_Syllabus.pdf,ENGL 102,Academic English II,Fall 2022,4,100,0.94,true,false,true,engl 102|academic english ii|fall 2022,unique,
ENGR114_ENGR114_Syllabus_Introduction_to_Computing_-_Python_Spring_2024.pdf,ENGR 114,Introduction to Computing using Python,Spring 2024,4,100,0.89,true,false,true,engr 114|introduction to computing using python|spring 2024,unique,
CHEM116_CHEM116_Syllabus_SM25.pdf,ESMA 200,". Time value of money, 4. Inflation and its",Summer 2025,5,100,0.92,true,false,true,"esma 200|. time value of money, 4. inflation and its|summer 2025",unique,
GENS100_GENS_100_Syllabus_Spring_2024.pdf,GENS 100,Academic Development and Success,Spring 2024,4,100,0.89,true,false,true,gens 100|academic development and success|spring 2024,unique,
GENS100_GENS_100_Syllabus_Supplement_for_Students_Fall_2024.docx,GENS 100,Academic Development and Success,Fall 2024,4,100,0.86,true,false,true,gens 100|academic development and success|fall 2024,unique,
GENS101_Grand_Challenges_syllabus.pdf,GENS 101,Grand Challenges,Fall 2022,5,100,0.86,true,false,true,gens 101|grand challenges|fall 2022,unique,
GENS 300 Revised Syllabus Jan 2025.pdf,GENS 300,Career Preparation,,9,100,0.87,true,false,true,gens 300|career preparation|unknown-term,unique,
GENS300_GENS_300_Syllabus_43c33d94_2.pdf,GENS 300,Career Preparation,Fall 2024,5,100,0.86,true,false,false,gens 300|career preparation|fall 2024,duplicate,
GENS300_GENS_300_Syllabus_43c33d94_3.pdf,GENS 300,Career Preparation,Fall 2024,5,100,0.86,true,false,false,gens 300|career preparation|fall 2024,duplicate,
GENS300_GENS_300_Syllabus_43c33d94.pdf,GENS 300,Career Preparation,Fall 2024,5,100,0.86,true,false,false,gens 300|career preparation|fall 2024,duplicate,
GENS300_GENS_300_Syllabus.pdf,GENS 300,Career Preparation,Fall 2024,5,100,0.89,true,false,true,gens 300|career preparation|fall 2024,duplicate,
HUMA106_Syllabus_HUMA_106_Emirates_Society_Summer_2025_updated_2_2.pdf,HUMA 106,Emirates Society,Summer 2024,6,100,0.94,true,false,true,huma 106|emirates society|summer 2024,unique,
HUMA 140 Introduction to Psychology Syllabus & Supplement(2).pdf,HUMA 140,Introduction to Psychology,Summer 2025,6,100,0.92,true,false,true,huma 140|introduction to psychology|summer 2025,duplicate,
HUMA140_HUMA_140_Introduction_to_Psychology_Syllabus_Supplement_2.pdf,HUMA 140,Introduction to Psychology,Summer 2025,6,100,0.92,true,false,false,huma 140|introduction to psychology|summer 2025,duplicate,
HUMA 221 Intercultural Communication final 2025 (2).pdf,HUMA 221,Intercultural Communication,,4,100,0.83,true,false,true,huma 221|intercultural communication|unknown-term,unique,
LTCM221_3_LTCM221_Intercultural_Communication_SUMMER_2025.docx,HUMA 221,Intercultural Communication,Summer 2025,4,100,0.94,false,true,false,huma 221|intercultural communication|summer 2025,unique,Using summary table because detailed assessment methodology is ambiguous.
HUMA229_HUMA_229_Critical_Thinking_Course_Syllabus_Fall_2025.docx,HUMA 229,Critical Thinking,Fall 2025,6,100,0.94,true,false,true,huma 229|critical thinking|fall 2025,unique,
HUMA277_HUMA_277_Intro_to_Logical_Summer_25.docx,HUMA 277,Introduction to Logical Reasoning,Summer 2023,4,100,0.94,true,false,true,huma 277|introduction to logical reasoning|summer 2023,unique,
LTCM 221 SYLLABUS SPRING 2026_1.pdf,LTCM 221,Intercultural Communication,,4,100,0.91,false,true,false,ltcm 221|intercultural communication|unknown-term,unique,Using summary table because detailed assessment methodology is ambiguous.
MATH101_MATH_101_Syllabus_-_Fall_2024_-_Dr._Ahmed.pdf,MATH 101,Fundamentals of Mathematical Reasoning,Fall 2024,5,100,0.89,true,false,true,math 101|fundamentals of mathematical reasoning|fall 2024,unique,
MATH111_MATH_111_Syllabus_-_Spring_2025_-_Dr._Imad.pdf,MATH 111,CALCULUS I,Spring 2025,9,100,0.91,true,false,true,math 111|calculus i|spring 2025,unique,
MATH112_MATH_112_Calculus_II_Syllabus_Spring_2025_AM.pdf,MATH 112,Calculus II,Spring 2025,7,100,0.94,true,false,true,math 112|calculus ii|spring 2025,duplicate,
MATH112_MATH_112_Syllabus_-_Spring_2025_-_Dr._Fawaz.pdf,MATH 112,Calculus II,Spring 2025,7,100,0.94,true,false,false,math 112|calculus ii|spring 2025,duplicate,
MATH204_MATH_204_Linear_Algebra_Syllabus_Fall_2024_August_23.pdf,MATH 204,Linear Algebra,Fall 2024,3,100,0.94,true,false,true,math 204|linear algebra|fall 2024,unique,
MATH211_MATH211_Project_Phase_1.pdf,MATH 211,DifferenƟal EquaƟons and Linear Algebra,Spring 2025,1,5,0.87,false,true,false,math 211|differenɵal equaɵons and linear algebra|spring 2025,conflict,total weight 5 is not 100; not_syllabus_project_handout; Total weight is below 100 (5%); duplicate conflict with different assessment rows
MATH211_MATH211_Project_Phase_2.pdf,MATH 211,DifferenƟal EquaƟons and Linear Algebra,Spring 2025,1,5,0.87,false,true,false,math 211|differenɵal equaɵons and linear algebra|spring 2025,conflict,total weight 5 is not 100; not_syllabus_project_handout; Total weight is below 100 (5%); duplicate conflict with different assessment rows
MATH211_Math_211_Syllabus_Supplement_Spring_25-updated.pdf,MATH 211,Differential Equations and Linear Algebra,Spring 2025,8,100,0.91,true,false,true,math 211|differential equations and linear algebra|spring 2025,unique,
MATH224_MATH224_Syllabus_-_Spring_2025_-_Prof._Khamsi.pdf,MATH 224,Real Analysis I,Spring 2025,3,100,0.89,true,false,true,math 224|real analysis i|spring 2025,unique,
MATH 232 - Engineering Mathematics - Syllabus(2).pdf,MATH 232,Engineering Mathematics,Fall 2025,3,100,0.93,true,false,true,math 232|engineering mathematics|fall 2025,unique,
MATH232_Syllabus_Supplement_e40ca893_2.pdf,MATH 232,Engineering Mathematics,Fall 2021,3,100,0.91,true,false,true,math 232|engineering mathematics|fall 2021,duplicate,
MATH232_Syllabus_Supplement_e40ca893.pdf,MATH 232,Engineering Mathematics,Fall 2021,3,100,0.91,true,false,false,math 232|engineering mathematics|fall 2021,duplicate,
MATH232_Syllabus_Supplement.pdf,MATH 232,Engineering Mathematics,Fall 2021,3,100,0.91,true,false,false,math 232|engineering mathematics|fall 2021,duplicate,
MATH232_Syllabus232_M.pdf,MATH 232,Engineering Mathematics,,3,100,0.83,true,false,true,math 232|engineering mathematics|unknown-term,unique,
MATH234_MATH234_Syllabus_Summer_2024.pdf,MATH 234,Discrete Mathematics,Summer 2024,3,100,0.94,true,false,true,math 234|discrete mathematics|summer 2024,unique,
MATH242_MATH_242_-_Syllabus_Supplement_Fall_2024.pdf,MATH 242,Introduction to Probability and Statistics,Fall 2024,6,100,0.91,true,false,true,math 242|introduction to probability and statistics|fall 2024,unique,
MATH242_Summer_2024_Syllabus.pdf,MATH 242,Introduction to Probability and Statistics,Summer 2024,3,100,0.94,true,false,true,math 242|introduction to probability and statistics|summer 2024,unique,
MATH244_MATH_244_Syllabus-_Spring_2025_-_Dr._Yerkin.pdf,MATH 244,Probability,Spring 2025,3,100,0.94,true,false,true,math 244|probability|spring 2025,unique,
MATH251_MATH_251_Syllabus_-_Spring_2025_-_Dr._Pedro.pdf,MATH 251,Operations Research I,Spring 2023,8,100,0.94,true,false,true,math 251|operations research i|spring 2023,unique,
DOC-20260518-WA0022..pdf,PHYS 121,University Physics I,Spring 2026,8,100,0.89,true,false,true,phys 121|university physics i|spring 2026,unique,
PHYS121_Syllabus_-_Summer_2025.pdf,PHYS 121,University Physics I,Summer 2025,8,100,0.94,true,false,true,phys 121|university physics i|summer 2025,unique,
Syllabus-Fall 2026-02.docx,PHYS 121,University Physics I,Fall 2026,8,100,0.89,true,false,true,phys 121|university physics i|fall 2026,unique,
